1,to ,Position/Studiengang,Year Start,Year End,Year Total,Current,Management,Relation,Region
10,1,Chief Executive Officer,2024,2025,1,2,2,1,Ditzingen
10,2,Head of Division Spectrum,2022,2023,1,1,2,1,Taufkirchen
12,2,Chief Executive Officer,2024,2025,1,2,2,1,Taufkirchen
12,1,Chief Executive Officer,2021,2023,3,1,2,1,Ditzingen
11,1,Chief Financial Officer,2023,2025,2,2,2,1,Ditzingen
13,2,Chief Financial Officer,2022,2025,3,2,2,1,Taufkirchen
13,9,Head of Controlling Customer Support,2014,2015,2,1,1,1,Taufkirchen
13,59,Supply Chain Controlling,2006,2010,4,1,1,1,NA
13,9,Head of Centre Controlling Supply Chain Management,2010,2014,3,1,1,1,NA
13,233,Senior Lecturer,2014,2022,8,1,1,1,München
13,2,Head of Central Controlling,2015,2020,5,1,1,1,Taufkirchen
13,2,Head of Site Management ,2018,2022,4,1,1,1,Taufkirchen
13,2,Head of Group Controlling & Investor Relations,2020,2022,2,1,1,1,Taufkirchen
14,3,Chief Executive Officer,2016,2025,9,2,2,1,Hamburg
15,3,Group Executive Vice President and Chief Financial Officer,2023,2025,2,2,2,1,Hamburg
16,4,Chief Executive Officer,2023,2025,2,2,2,1,München
17,4,Chief Operating Officer,2023,2025,2,2,2,1,München
18,5,Chief Operations Officer,2025,2025,0,2,2,1,Düsseldorf
18,5,Chief Executive Officer,2023,2025,2,1,2,1,Unterlüß
19,5,Chief Financial Officer,2023,2025,2,2,2,1,Düsseldorf
20,6,Chief Executive Officer,2019,2025,5,2,2,1,Überlingen
21,6,Chief Financial Officer,2019,2025,5,2,2,1,Überlingen
22,7,Chief Executive Officer,2021,2024,4,2,2,1,Bergisch Gladbach
23,7,Chief Financial Officer,2022,2023,3,2,2,1,Bergisch Gladbach
24,8,Chief Executive Officer,2023,2025,2,2,2,1,Neuss
25,8,Chief Financial Officer,2017,2025,7,2,2,1,Neuss
26,9,Chief Human Resources Officer ,2012,2025,13,2,2,1,Taufkirchen
27,9,Chief Executive Officer,2019,2025,6,2,2,1,Taufkirchen
10,28,Softwaretechnik,1997,2002,5,1,1,2,Stuttgart
11,29,Executive Master of Accounting and Taxation (EMAT),2009,2011,2,1,1,2,Mannheim
11,41,Hotel- und Gastronomiemanagement,2004,2007,3,1,1,2,Ravensburg
12,42,Informatik,1989,1993,4,1,1,2,München
13,31,Business Administration,2006,2010,4,1,1,2,Greenlands-UK
13,42,Wirtschafts- und Organisationswissenschaften,2001,2005,4,1,1,2,München
14,32,Marine Electronics Engineering,1987,1989,2,1,1,2,Vestfold-NOR
15,33,International Finance,2001,2001,1,1,1,2,Melbourne-AUS
15,43,Finance,1997,2001,4,1,1,2,Bergen-NOR
16,34,NA,NA,NA,NA,1,1,2,Cambridge-USA
17,35,Industrial Engineering,2001,2004,3,1,1,2,Wharley End-UK
17,44,Mechanical Engineering,1992,1997,5,1,1,2,München
19,45,Wirtschaftsingenieurwesen,1991,1997,6,1,1,2,Karlsruhe
20,28,Elektrotechnik,NA,NA,NA,1,1,2,Stuttgart
22,36,NA,NA,1984,NA,1,1,2,Paris-FRA
22,46,NA,NA,1981,NA,1,1,2,Palaiseau-FRA
23,37,Luft- und Raumfahrt,1994,1994,1,1,1,2,Toulouse-FRA
23,47,Luftfahrtingenieruwesen,1986,1991,5,1,1,2,Montigny-le-Bretonneux-FRA
23,48,Verteidigungspolitik,2016,2017,1,1,1,2,Paris-FRA
24,38,Physik,NA,NA,NA,1,1,2,Bari-ITA
25,39,Business Administration,NA,NA,NA,1,1,2,Stanford-USA
25,49,Economics,NA,NA,NA,1,1,2,Rom-ITA
26,51,HR Management ,NA,1985,NA,1,1,2,Villetaneuse-FRA
26,40,HR Management & Development,NA,1988,NA,1,1,2,Paris-FRA
27,46,Physik,1987,1990,3,1,1,2,Palaiseau-FRA
27,37,Luftfahrtwissenschaft und -technologie,1990,1992,2,1,1,2,Toulouse-FRA
27,50,Betriebswirtschaftslehre,1998,2000,2,1,1,2,Marseille-FRA
52,54,Maschinenbau,NA,1990,NA,1,1,2,Duisburg
52,5,Chief Executive Officer,2013,2025,12,2,2,1,Düsseldorf
52,5,Mitglied des Vorstandes ,2012,2013,1,1,2,1,Düsseldorf
52,5,Geschäftsbereichsleiter,2007,2012,6,1,1,1,Düsseldorf
52,5,Geschäftsführer ,2001,2007,6,1,1,1,Düsseldorf
52,5,Qualitätsmanager ,1990,2001,10,1,1,1,Düsseldorf
53,44,Promotion,1996,1998,2,1,1,2,München
53,55,Kulturwirtschaft,1990,1995,5,1,1,2,Passau
53,59,Leitung Fachreferat ,1998,2000,2,1,1,1,Wolfsburg
53,56,Leitung Personalwesen,2001,2008,8,1,1,1,Stuttgart
53,1,Vize-Präsident Human Resources & Communications,2009,2013,4,1,1,1,Stuttgart
53,57,Chief Human Resources Officer ,2013,2022,9,1,2,1,Mainz
53,58,Chief Human Resources Officer ,2022,2024,2,1,2,1,Kitzingen
53,5,Chief Human Resources Officer ,2024,2025,1,2,2,1,Düsseldorf
18,5,Präsident Mechatronik,2018,2023,5,1,1,1,Neuß
18,,Präsident Geschäftsbereich Sensors and Actuators,2017,2018,1,1,1,1,Detroit-USA
18,60,Managing Director ,2010,2013,3,1,1,1,Pune-IND
18,61,Senior Manager Controlling,2007,2010,3,1,1,1,Neuß
61,5,Ehemals,,,,,,,
18,62,Financial Controller,2005,2007,2,1,1,1,Greenville-USA
60,5,Ehemals ,,,,,,,
61,63,Unternehmenszugehörigkeit,,,,,,,
62,63,Unternehmenszugehörigkeit,,,,,,,
