id,Name,Geschlecht,Geburtsjahr/Gründungsjahr,Type,Nationality,Title,Umsatz 2023 [€]
1,Thales Deutschland,,2000,2,D,,
2,Hensoldt,,2017,2,D,,
3,Kongsberg Gruppen,,1814,2,D,,"3,57 Mrd."
4,MTU Aero Engines,,1936,2,D,,
5,Rheinmetall ,,1889,2,D,,
6,Diehl Defence,,1905,2,D,,
7,Safran,,2005,2,D,,
8,Leonardo,,1951,2,D,,
9,Airbus Defence and Space ,,2014,2,D,,
10,Christoph Ruffner,1,NA,3,D,Dipl. Inf. ,
11,Axel Schlatter,1,NA,3,D,M. Sc.,
12,Oliver Dörre,1,NA,3,D,Dipl. Inf. ,
13,Christian Ladurner,1,1977,3,D,Dipl. Kaufmann,
14,Geir Håøy ,1,1966,3,NOR,Dipl. Ing.,
15,Mette Toft Bjørgen ,2,1976,3,NOR,M. Sc. ,
16,Lars Wagner,1,1975,3,D,"Dipl. Ing, M. Sc., MBA",
17,Silke Maurer,2,1972,3,D,"Dipl. Ing., Dr.",
18,René Gansauge,1,1973,3,D,Dipl. Ing.,
19,Klaus Neumann,1,1970,3,D,Dipl. Ing.,
20,Helmut Rauch,1,1965,3,D,NA,
21,Thomas Bodenmüller,1,NA,3,D,Dipl. Betriebswirt,
22,Olivier Andriés ,1,1962,3,FRA,NA,
23,Pascal Bantegnie ,1,1986,3,FRA,M. Sc.,
24,Roberto Cingolani ,1,1961,3,ITA,PhD ,
25,Alessandra Genco,2,NA,3,ITA,"MBA, M. Sc. ",
26,Thierry Baril,1,1965,3,FRA,"Dipl., Business Degree",
27,Guillaume Faury,1,1968,3,FRA,"Dipl. Ing. 
",
28,Universität Stuttgart,,,4,D,,
29,Mannheim Business School,,,4,D,,
30,Führungsakademie der Bundeswehr,,,4,D,,
31,Henley Business School,,,4,UK,,
32,Vestfold University College ,,,4,NOR,,
33,University of Melbourne,,,4,AUS,,
34,Massachusetts Institute of Technology,,,4,USA,,
35,Cranfield University,,,4,UK,,
36,Ecole des Mines ,,,4,FRA,,
37,École nationale supérieure de l'aéronautique et de l'espace ,,,4,FRA,,
38,University of Bari ,,,4,ITA,,
39,Stanford Graduate School of Business ,,,4,USA,,
40,Institut de Gestion Sociale (IGS),,,4,FRA,,
41,DHBW Ravensburg,,,4,D,,
42,Universität der Bundeswehr München,,,4,D,,
43,Norges Handelshøyskole ,,,4,NOR,,
44,Technische Universität München,,,4,D,,
45,Universität Karlsruhe,,,4,D,,
46,École Polytechnique,,,4,FRA,,
47,École Supérieur des Techniques Aéronautiques et de Construction Automobile,,,4,FRA,,
48,Institut des hautes études de défense nationale (IHEDN),,,4,FRA,,
49,LUISS Guido Carli Universität Rom,,,4,ITA,,
50,IAE Aix-Marseille Graduate School of Management,,,4,FRA,,
51,IUT de Villetaneuse,,,4,FRA,,
52,Armin Papperger,1,1963,3,D,Dipl. Ing.,
53,Ursula Biernert-Kloß,2,1969,3,D,Dr. Dipl. ,
54,Universität Duisburg,,,4,D,,
55,Universität Passau,,,4,D,,
56,Porsche AG ,,1972,1,D,,"37,3 Mrd."
57,DB Cargo AG,,1999,1,D,,3.794 Mio.
58,LEONI AG,,1999,1,D,,"5,5 Mrd."
59,Volkswagen AG,,1960,1,D,,"322,3 Mrd."
60,KSPG India,,,1,Ind,,
61,Pierburg GmbH,,,1,D,,
62,Pierburg Inc,,,1,USA,,
63,Pierburg US LLC,,,1,USA,,
64,KPMG AG,,1987,1,D,,"2,39 Mrd."
65,Renk Group AG,,,2,D,,
66,Alexander Sagel,,1971,3,D,Dr.,
67,Daimler AG ,,,1,D,,
68,Universität Ulm,,,4,D,,
69,Technische Universität Berlin,,,4,D,,
70,Anja Mänz-Siebje,2,1971,3,D,,
71,Renk GmbH,,,2,D,,
72,Kostal Group,,,1,D,,
73,Siemens Energy ,,,1,D,,
74,Bayer,,,1,D,,
75,Exyte,,,1,D,,
76,Pricewaterhouse Coopers,,,1,D,,
77,Universität Freiburg,,,4,SUI,,
78,Emmerich Schiller,1,1966,3,D ,Dr.-Ing.,
79,Mercedes-Benz AG,,,1,D,,
80,Mercedes-AMG AG,,,1,D,,
81,Hilti Group,,,1,D,,
82,Claus von Hermann,1,1974,6,D,,
83,Triton Partners,,,1,D,,
84,Court Square Capital Partners,,,1,UK,,
85,Credit Suisse,,,1,UK,,
86,ESB Business School,,,4,D,,
87,Dublin City University,,,4,IRE,,
88,Klaus Refle,1,1966,6,D,,
89,Sascha Dudzik,1,1977,6,D,,
90,Universität Hamburg,,,4,D,,
91,IG Metall ,,,5,D,,
92,Lothar Evers,1,1968,6,D,,
93,Florian Hohenwarter,1,1976,6,D,Dipl.-Ing. ,
94,Duale Hoschschule Baden-Württemberg,,,4,D,,
95,KNDS Deutschland GmbH & C0. KG,,,2,D,,
96,Adela Lieb,f,1976,6,D,Dipl.,
97,Universität Augsburg,,,4,D,,
98,Deloitte & Touche GmbH,,,1,D,,
99,Johannes Meier,1,1984,6,"D,A",,
100,CFA Institute,,,4,USA,,
101,Voith GmbH,,,1,D,,
102,Talis Group,,,1,D,,
103,Doreen Nowotne,f,1972,6,D,Dipl.,
104,Hochschule für Technik und Wirtschaft Dresden,,,4,D,,
105,International Institute for Management Development,,,4,SUI,,
106,Arthur Andersen Wirtschaftsprüfungsgesellschaft mbH,,,1,D,,
107,UBS Capital,,,1,D,,
108,BC Partners,,,1,D,,
109,SGB-SMIT Group,,,1,D,,
110,VAT Group,,,1,D,,
111,JENOPTIK AG,,,1,D,,
112,Lufthansa Technik ,,,1,D,,
113,Franz Haniel & Cie. GmbH,,,1,D,,
114,Brenntag SE,,,1,D,,
115,Kühne Holding AG,,,1,SUI,,
116,Ferdije Rrecaj,f,1976,6,D,,
117,AUDI AG,,,1,D,,
118,Goethe Universität Frankfurt am Main,,,4,D,,
119,Mario Sommer,1,1981,6,D,Dipl.-Ing.,
120,Duale Hochschule Sachsen,,,4,D,,
121,MAN Roland,,,1,D,,
122,Karin Sonnenmoser,f,1969,6,D,Dipl.,
123,University of Dayton,,,4,USA,,
124,AutoVision GmbH,,,1,D,,
125,Volkswagen Sachsen GmbH,,,1,D,,
126,Zumtobel Group AG,,,1,AUS,,
127,Schweizer Electronic AG,,,1,D,,
128,Vivantes - Netzwerk für Gesundheit GmbH,,,1,D,,
129,Ceconomy AG,,,1,D,,
130,Swiss Steel Group,,,1,SUI,,
131,INNIO Group,,,1,AUS,,
132,u-blox,,,1,SUI,,
133,Klaus Stahlmann,1,1960,6,D,Dip.-Ing.,
134,Technische Hochschule Darmstadt,,,4,D,,
135,Carl Schenck AG,,,1,D,,
136,Krupp Fördertechnik,,,1,D,,
137,Allweiler AG,,,1,D,,
138,MAN SE,,,,,,
139,Sulzer ,,,1,SUI,,
140,Kelvion Holding GmbH,,,1,D,,
141,Trillium Flow Technologies ,,,1,UK,,
142,Ullrich Grillo,1,1959,6,D,Dipl.-Kfm.,
143,Universität Münster,,,4,D,,
144,Bundesverband der Deutschen Industrie e.V. ,,,7,D,,
145,HDI Global SE,,,1,D,,
146,Commerzbank AG,,,1,D,,
147,J. P. Morgan,,,1,UK,,
148,E.ON,,,1,D,,
