id,Name,Vorstand in Rüstungsunternehmen,Vorstand in Unternehmen 2,Vorstand in Unternehmen 3,Universität,Position,Geschlecht,Alter,Region
1,Thales Deutschland,,,,,,,,
2,Hensoldt,,,,,,,,
3,Kongsberg Gruppen,,,,,,,,
4,MTU Aero Engines,,,,,,,,
5,Rheinmetall ,,,,,,,,
6,Diehl Defence,,,,,,,,
7,Safran,,,,,,,,
8,Leonardo,,,,,,,,
9,Airbus Defence and Space ,,,,,,,,
10,Christoph Ruffner,Thales Deutschland,NA,NA,Universität Stuttgart,Chief Executive Officer,m ,48,Ditzingen
11,Axel Schlatter,Thales Deutschland,NA,NA,Mannheim Business School,Chief Financial Officer,m,NA,Ditzingen
12,Oliver Dörre,Hensoldt,NA,NA,Führungsakademie der Bundeswehr,Chief Executive Officer,m ,51,Taufkirchen
13,Christian Ladurner,Hensoldt,NA,NA,Henley Business School,Chief Financial Officer,m,NA,Taufkirchen
14,Geir Håøy ,Kongsberg Gruppen,NA,NA,Vestfold University College ,Chief Executive Officer,m,59,Hamburg
15,Mette Toft Bjørgen ,Kongsberg Gruppen,NA,NA,University of Melbourne,Group Executive Vice President and Chief Financial Officer,f,49,Hamburg
16,Lars Wagner,MTU Aero Engines,NA,NA,Massachusetts Institute of Technology,Chief Executive Officer,m,50,München
17,Dr. Silke Maurer,MTU Aero Engines,NA,NA,Cranfield University,Chief Operating Officer,f,53,München
18,René Gansauge,Rheinmetall ,NA,NA,NA,Chief Operating Officer,m,51,Düsseldorf
19,Klaus Neumann,Rheinmetall ,NA,NA,NA,Chief Financial Officer,m,54,Düsseldorf
20,Helmut Rauch,Diehl Defence,NA ,NA ,Universität Stuttgart,Chief Executive Officer,m,53,Überlingen
21,Thomas Bodenmüller,Diehl Defence,NA,NA,NA,Chief Financial Officer,m,NA,Überlingen
22,Olivier Andriés ,Safran,NA,NA,Ecole des Mines ,Chief Executive Officer ,m,62,Bergisch Gladbach 
23,Pascal Bantegnie ,Safran,NA,NA,ISAE-SUPAERO,Chief Financial Officer ,m,56,Bergisch Gladbach 
24,Roberto Cingolani ,Leonardo,NA,NA,University of Bari ,Chief Executive Officer ,m,63,Neuss
25,Alessandra Genco,Leonardo,NA,NA,Stanford Graduate School of Business ,Chief Financial Officer ,f,51,Neuss
26,Thierry Baril,Airbus Defence and Space ,NA,NA,Institut de Gestion Sociale (IGS),Chief Human Resources Officer,m,59,Taufkirchen
27,Guillaume Faury,Airbus Defence and Space ,NA,NA,École nationale supérieure de l'aéronautique et de l'espace ,Chief Executive Officer ,m ,56,Taufkirchen
